text,science_related,scientific_claim,scientific_reference,scientific_context
Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX,1,1.0,0.0,0.0
Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.,1,1.0,0.0,0.0
Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB,1,1.0,0.0,0.0
Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30,1,1.0,0.0,0.0
Poverty is the greatest cause behind child labour. #RisePakistan,1,1.0,0.0,0.0
"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?",1,1.0,0.0,0.0
"A wise Physician said, “The best medicine for Humans is LOVE.” Some1 asked, “If it doesn’t work?” He smiled&answered, “ Increase the dose.”",1,1.0,0.0,0.0
When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1,1,1.0,0.0,0.0
Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28,1,1.0,0.0,0.0
65% of cats born with blue eyes are deaf.,1,1.0,0.0,0.0
Over thinking causes the mind to create negative scenarios and replay painful memories.,1,1.0,0.0,0.0
"“@UberFacts: During Medieval times, red hair was associated with intense sexual desire and moral degradation.” @EElise13",1,1.0,0.0,0.0
"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people...",1,1.0,0.0,0.0
@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.,1,1.0,0.0,0.0
"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk",1,1.0,0.0,0.0
"Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!",1,1.0,0.0,0.0
"WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy, love, peace, and contentment!",1,1.0,0.0,0.0
Determination leads to Success. Best day of my life #nowplaying,1,1.0,0.0,0.0
Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz,1,1.0,0.0,0.0
5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5,1,1.0,0.0,0.0
"#Beijing, #China sees significant increase of armed #police presence on streets http://t.co/HaTeA4kg08",1,1.0,0.0,0.0
Adversity causes some men to break; others to break records.,1,1.0,0.0,0.0
"""Take aspirin every day for 10 years and cut your chance of bowel/stomach cancer but increase your chance of a stroke or internal bleeding.""",1,1.0,0.0,0.0
Overthinking leads to negative thoughts.,1,1.0,0.0,0.0
"Furthermore, drinking more water alone actually aids in losing weight.",1,1.0,0.0,0.0
also cancer is virtually incurable bc all cancers are different :),1,1.0,0.0,0.0
Is Ebola a health care system mishap?,1,1.0,0.0,0.0
Perfect teeth are a turn on,1,1.0,0.0,0.0
".@Oprah Nuclear weapons are a real, deadly problem that entire popul. of world must deal with http://t.co/6SEM76ud2c #SaveFukuChildren",1,1.0,0.0,0.0
"The macroeconomic impact of micro-interventions is an important reason why poverty has persisted, despite ... http://t.co/GWfKI78PcY",1,1.0,0.0,0.0
Check out B HEALING STONE & MAGNET PILLOW (THERPIC)HELPS STOP PAIN IN THE BODY http://t.co/3V9oG2aeHV via @eBay,1,1.0,0.0,0.0
Companies report 48% increase in attempted cyber security breaches http://t.co/wUdCJb7y8v #DGInsights #cybersecurity http://t.co/a38n3hZg70,1,1.0,0.0,0.0
coumadin decreased sex drive men http://t.co/zfRNn4MMc6,1,1.0,0.0,0.0
"More Sex Doesn’t Lead To More Happiness, Reveals New Study. Surprised? – Tech Times http://t.co/jtKodFKWmV",1,1.0,0.0,0.0
"#PhysicalActivity is imp at every age, esp bc it can help strengthen bones & muscles & prevent falls. #ActiveAgeing http://t.co/B7gXec7gCG",1,1.0,0.0,0.0
Beauty Tips : Blood Sugar Support Cardiovascular Health Dietary Supplement (6 Bottles) http://t.co/bp6W50L2yX #892,1,1.0,0.0,0.0
Pain changes people,1,1.0,0.0,0.0
"The carbon footprint of a glass of milk has shrunk by 2/3 in the last 50 years due to improved health, nutrition, and genetics #JAM2015",1,1.0,0.0,0.0
#Deals : New Improved Unique Color Therapy Lamps Light Promotes Wellness Health http://t.co/NJTKhFgizu #Beauty … http://t.co/u65daPcbA6,1,1.0,0.0,0.0
Farting helps reduce high blood pressure and is good for your health. Isn’t it funny and healthy?  http://t.co/aiAnQvFfiW #physio #herts,1,1.0,0.0,0.0
"The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more.",1,1.0,0.0,0.0
"High school does, in fact ,change people.",1,1.0,0.0,0.0
The low sun angle and the reflective surface of the fresh snow slowing the melting process of the snowpack #ndwx https://t.co/tIG2TYSw91,1,1.0,0.0,0.0
PROOF That Gun Bans Increase Murder Rates https://t.co/ogYX8lB3xN... https://t.co/Fcq5UNTRhH|mM,1,1.0,0.0,0.0
"Hard work NEVER fails, start working, stop complaining. If you work for it, you'll appreciate it! 💯",1,1.0,0.0,0.0
"#Severe fibromyalgia symptoms linked to obesity, weight gain - https://t.co/NZG7iqYpas https://t.co/rnTKnmhL2V",1,1.0,0.0,0.0
Did you know that #HighBloodPressure causes #ErectileDysfunction? #menshealth https://t.co/uCUE9RKgUO https://t.co/nkrP6hsLMl,1,1.0,0.0,0.0
A good pass often leads to a good shot. The extra pass often leads to a great shot. #Selfless #Assist,1,1.0,0.0,0.0
Proper preparation prevents poor performance,1,1.0,0.0,0.0
How Employment Can Change the Life of Someone with a Disability https://t.co/VxAtaX7qi5,1,1.0,0.0,0.0
Benefits of music: - Stress relief - Boost immunity - Reduce heart disease - Enhances emotional strength - Boost self esteem,1,1.0,0.0,0.0
Volume Caps Pills Male Sex Enhancement Increase Semen Massive Load More Libido - Bid Now! … https://t.co/hV5lrIMrSc https://t.co/bUwQvoOKV4,1,1.0,0.0,0.0
Q: Is there a connection between shellfish allergies and iodine? - Wilderness Medical Associates International https://t.co/4TM0FP7GQb,1,1.0,0.0,0.0
Adverse #Effects #Of #Marijuana #Cannabis #Seeds #Sale #How #To #Grow #Cannabis #Indoors https://t.co/F2rvT9UTS0,1,1.0,0.0,0.0
Reading facebook comments for 20 minutes is scientifically proven to drop your IQ by more than 52%.,1,1.0,0.0,0.0
"Change is essential for growth, but if we’re not under leadership of Holy Spirit, what will we become? https://t.co/9YvxyLUKXV",1,1.0,0.0,0.0
This technology will stop snoring forever! https://t.co/5UMpF8n4bH,1,1.0,0.0,0.0
Cooling Therapy Might Not Help All Cardiac Arrest Patients https://t.co/4oNE2klZne,1,1.0,0.0,0.0
Matt Ridley: Climate policy is doing more harm than good https://t.co/L1MNlzi56d,1,1.0,0.0,0.0
The number of lies told by men would decrease significantly if women stopped asking questions,1,1.0,0.0,0.0
Indian real estate to see an increase of 4.2 mn units across 8 cities in the next 5 years » https://t.co/wFX4fWcUyk,1,1.0,0.0,0.0
Five ways subscription box services can increase customer retention https://t.co/dkcJywo5yL,1,1.0,0.0,0.0
"So what was Israels reason for attacks, murder and destruction of the Palestinian people before 1982? SIMPLY HATE AND ETHNIC CLEANSING https://t.co/hLlBuxWvcU",1,1.0,0.0,0.0
"RT HealingMB: Stressed? Stretching reduces stress, increasing circulation, reducing pain etc #Healing #Yoga... https://t.co/XTyqkcaSBt",1,1.0,0.0,0.0
Pain changes people.,1,1.0,0.0,0.0
"The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more.",1,1.0,0.0,0.0
Do conservatives know that legally taking away abortion isn't going to actually stop people from getting abortions?,1,1.0,0.0,0.0
#10: RapidKetosis Premium Exogenous Ketone Supplement - Weight Loss Was Never Easier… https://t.co/OoRJlk58BA #Prepared #Foods,1,1.0,0.0,0.0
(3) Fear of illness because of poverty is a national disgrace. It also causes huge numbers to live in a perpetual state of stress.,1,1.0,0.0,0.0
Myth: Warm Up can Increase Vertical Jump! True or False? #nba See at : https://t.co/ZjGHyzRNGd https://t.co/jHDDRcxYnb,1,1.0,0.0,0.0
Seeking perfection in trading leads to massive losses https://t.co/VacaxTq2zE,1,1.0,0.0,0.0
student athletes are a different species https://t.co/vDa7gpwZgk,1,1.0,0.0,0.0
Lack of free will and unwillingness to exercise it are functionally equivalent.,1,1.0,0.0,0.0
@ColinKahl There has been a sharp increase in reported abuse of travellers - particularly non-whites - by CBP & ICE personnel. https://t.co/sVIYIvMNTk,1,1.0,0.0,0.0
"European markets are a better investment than US markets, analyst says https://t.co/APHnvJROtc #Stock #Market https://t.co/ykYySyP5vH",1,1.0,0.0,0.0
gratitude is a killer antidepressant,1,1.0,0.0,0.0
82% of Americans support a pathway to citizenship! We have to remove the fear & #ProtectDREAMErs now. #AxeFiles,1,1.0,0.0,0.0
Will export control of exploits by Waassenaar signatories prevent catastrophic cyberwar? #ruxpanel,1,1.0,0.0,0.0
how u treat others will reflect on how u feel,1,1.0,0.0,0.0
Is @ONgov going to pay for the increased #ONhealth care required to care for a 4-fold rise expected in teenage marijuana-intoxication after pot-legalization comes into effect? Colorado’s experience raises alarms that #ONpoli can’t afford to ignore. https://t.co/msm2ODcdG5,1,1.0,0.0,0.0
suicide is now the third leading cause of death among African Americans between the ages of 15 to 24,1,1.0,0.0,0.0
Using a “Cookie” Mentality to Increase Patient Satisfaction and Collect More Payments #techblogs #startups https://t.co/MKoYE4Rlum,1,1.0,0.0,0.0
"""Talking about #suicide increases the chances someone will go for help. Reaching out for help is the main message,"" said our @drthomasungar, while discussing mainstream media portrayals of #mentalhealth issues. WATCH THE VIDEO » https://t.co/zMhJyJ4a35 https://t.co/P0GPxQ6daQ",1,1.0,0.0,0.0
"#Shame is a powerful emotion and may be experienced when recovering from an #eatingdisorder. When shame seems to be winning, counter with #selfcompassion. https://t.co/fzBo6RuF3j https://t.co/iy12blHfD4",1,1.0,0.0,0.0
Good advice for the too many White people who can’t seem to understand that calling the police on Black people can cause death. https://t.co/Dyqy19wN5t,1,1.0,0.0,0.0
"Donating blood not only helps others, but reduces the rate of cancer and heart disease in the donor. And can help you lose weight.",1,1.0,0.0,0.0
"Babies cannot speak so parents never know the severity of their illnesses. When a baby shows minor signs of struggling to breathe, it should be treated as an emergency. https://t.co/9leiAbvi34",1,1.0,0.0,0.0
"States herself trauma causes norepinephrine to imprint memories on the hippocampus. Yet, can't remember anything. #ConfirmKavanaughNow https://t.co/pm2XhJOOeb",1,1.0,0.0,0.0
"(The Huffington Post) #Dramatic #Increase In Women Of Color As 2018 Candidates: Report : There was a 75 percent increase in women of color among nominees for Congress since 2012, a study shows. .. https://t.co/gvHI9Elazr https://t.co/31U7W3RO7s",1,1.0,0.0,0.0
Coffee Drinking Associated With Lower Risk of Stroke ➡ https://t.co/UziyhDa6WE https://t.co/8qHVzTjAHV,1,1.0,0.0,0.0
Nobody wants you till they think you’re in a relationship. Ain’t that some reverse psychology shit for you 😂,1,1.0,0.0,0.0
"Evolution doesn't apply to individuals, but to species. There's a benefit to having a certain percentage of the population remain outside of the breeding pool to devote their energies to supporting the clan by other means, such as myself, a well-to-do but dotty aunt. #atheism https://t.co/gxI0VYB5s9",1,1.0,0.0,0.0
Please Watch & share this powerful TEDx talk by Apollo Sevant that talks about how social & emotional learning & anti bullying workshops can lead to a reduction in school bullying & violence Video Here: https://t.co/6ckcpJGaUM,1,1.0,0.0,0.0
RTs are a helluva drug,1,1.0,0.0,0.0
@DrOlufunmilayo Smoking cannabis helps with controlling the nausea that comes with chemotherapy drugs.,1,1.0,0.0,0.0
"“Stronger relationships lead to stronger communities. Stronger communities are what makes America, America.” Read the full story SuccessBeyond the Front Lines from @southmagazine: https://t.co/wZvIVZzyTg | #GORUCK https://t.co/1ZZHIXCeU4",1,1.0,0.0,0.0
"@berniewestacott Play in early years is so important. The almost complete disappearance of unregulated, unmonitored, unsupervised free play in childhood is one of the key drivers of the increase in mental health issues. Schools can help: more unsupervised play, longer breaks, longer lunch, etc",1,1.0,0.0,0.0
"Kefir Health Benefits: Kefir Milk Grains last indefinitely. Kefir evidence suggests probiotics can alleviate many digestive problems, incl. irritable bowel syndrome & ulcers from H. pylori infection BUY HERE https://t.co/UXq872e3Oq https://t.co/Omddg6LmLE",1,1.0,0.0,0.0
UN and EU propaganda by socialist media compares 2019 data of built surfaces with 2003 data of tampered temperature database. Fact: France has a record 50°C heat wave in 1930 and similar and higher temperature in Spain etc. https://t.co/jtGv6gqhq3,1,1.0,0.0,0.0
"When it comes to immigration, this is often left out of the conversation: The United States’s weak gun laws not only put American lives at risk but drive illegal gun trafficking and violence in Latin America. https://t.co/TIZrZLvWlu",1,1.0,0.0,0.0
My very first statnews byline Men with breast #cancer have a 19 higher mortality rate than women with the condition. Advocacy groups push for awareness and education to help combat it. httpsbuff.ly2B5PvE8Â: My very first statnews byline Men with breast… https://t.co/uJRXR1dQog,1,1.0,0.0,0.0
"This impressive new surf lake near Bristol can generate up to 1,000 waves an hour and is 100% powered by renewables.. https://t.co/GA0FQrlDsT",1,1.0,0.0,0.0
Repeat after me: - Maps & No-Maps DO NOT belong in the LGBT+ - That is only comfirming established bias from anti-lgbt+ groups thus hurting our growth - Pedophilia is a form of mental disorder and IS TREATABLE. - Pedos are not oppressed. - We have the right to protect ourselves,1,1.0,0.0,0.0
How New Orleans Reduced Its Homeless Population By 90 Percent https://t.co/N1IGCaCdbw,1,1.0,0.0,0.0
On #WorldWetlandsDay we remind nations considering their Nationally Determined Contributions -NDCs- to fulfil their #ClimateAction plans & achieve targets under #ParisAgreement. that Wetlands are important carbon stores that function best when intact #WetlandBiodiversityMatters https://t.co/OfzahVQ81E,1,1.0,0.0,0.0
Weather damage affects rail traffic in several federal states https://t.co/fcn3t02zXe,1,1.0,0.0,0.0
"@ComfortablySmug @EricTrump While Trump didn't explicitly say that sick Americans should go to work, he did state that those with mild coronavirus cases can still recover while going about their daily lives — an assertion that contradicts public health officials' recommendations on how to manage the illness",1,1.0,0.0,0.0
@GreatTammie @RudeRicky @latimes Got houseless? Want to have #PublicHealth for the survival of the human species? HOUSING and HEALTHCARE! #CORONAVIRUS “Oregon’s homeless at risk for coronavirus. The crowded conditions in which the homeless live make them more susceptible to the virus.” https://t.co/KwchIaTGck,1,1.0,0.0,0.0
"""Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence."" - Helen Keller #AsiManshiDebut",1,1.0,0.0,0.0
"We know that #coronavirus is a cause for concern and stress for many. Whether you're #WorkingFromHome, #SocialDistancing or #SelfIsolating, it's important to look after our wellbeing. Find out how you can support your mental health: https://t.co/f0D8tTQvpx https://t.co/JgfT7Lcs9T",1,1.0,0.0,0.0
Music has the ability to repair brain damage as well as return lost memories. #haitian #music,1,1.0,0.0,0.0
"Turkey reports lower number of coronavirus cases for a second day in row. 4,093 cases were reported Monday, down by 696 when compared to the previous day, 4,789. 61,049 sickened since March 10 and 1,296 have died since March 17, per @drfahrettinkoca About 4K recoveries so far",1,1.0,0.0,0.0
"Did you know eye exercises & vision therapy can help with digital eye strain & certain eye conditions? Eye exercises will strengthen weak eye muscles, improve blood circulation & muscle tone. Try these eye exercise for a better & stronger vision 👁👁💙✨ #CentralAmericanTwitter https://t.co/KKrwUFJRvG",1,1.0,0.0,0.0
"@rantingelisa @KatyMontgomerie @JackieDP @NewgentTGA This part, science illiterate one: ‘The overall mortality for sex-reassigned persons was higher during follow-up (aHR 2.8; 95% CI 1.8–4.3) than for controls of the same birth sex, particularly death from suicide",1,1.0,0.0,0.0
