Unnamed: 0	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
2	3.22031E+17	Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX	1	1.0	0.0	0.0
3	3.22695E+17	Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.	1	1.0	0.0	0.0
4	3.28524E+17	Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB	1	1.0	0.0	0.0
9	3.34283E+17	Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30	1	1.0	0.0	0.0
17	3.44906E+17	Poverty is the greatest cause behind child labour. #RisePakistan	1	1.0	0.0	0.0
18	3.45226E+17	"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?"	1	1.0	0.0	0.0
27	3.54972E+17	A wise Physician said, â€œThe best medicine for Humans is LOVE.â€ Some1 asked, â€œIf it doesnâ€™t work?â€ He smiled&answered, â€œ Increase the dose.â€	1	1.0	0.0	0.0
29	3.57517E+17	When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1	1	1.0	0.0	0.0
33	3.62177E+17	Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28	1	1.0	0.0	0.0
40	3.69663E+17	65% of cats born with blue eyes are deaf.	1	1.0	0.0	0.0
43	3.75481E+17	Over thinking causes the mind to create negative scenarios and replay painful memories.	1	1.0	0.0	0.0
50	3.79218E+17	â€œ@UberFacts: During Medieval times, red hair was associated with intense sexual desire and moral degradation.â€ @EElise13	1	1.0	0.0	0.0
52	3.80342E+17	"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people..."	1	1.0	0.0	0.0
62	3.97207E+17	@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.	1	1.0	0.0	0.0
68	4.03455E+17	"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk"	1	1.0	0.0	0.0
93	4.30699E+17	Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!	1	1.0	0.0	0.0
101	4.37737E+17	WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy, love, peace, and contentment!	1	1.0	0.0	0.0
113	4.45991E+17	Determination leads to Success. Best day of my life #nowplaying	1	1.0	0.0	0.0
122	4.58622E+17	Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz	1	1.0	0.0	0.0
129	4.64696E+17	5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5	1	1.0	0.0	0.0
131	4.66216E+17	#Beijing, #China sees significant increase of armed #police presence on streets http://t.co/HaTeA4kg08	1	1.0	0.0	0.0
160	4.90728E+17	Adversity causes some men to break; others to break records.	1	1.0	0.0	0.0
170	4.96963E+17	"""Take aspirin every day for 10 years and cut your chance of bowel/stomach cancer but increase your chance of a stroke or internal bleeding."""	1	1.0	0.0	0.0
177	5.04475E+17	Overthinking leads to negative thoughts.	1	1.0	0.0	0.0
178	5.04924E+17	Furthermore, drinking more water alone actually aids in losing weight.	1	1.0	0.0	0.0
190	5.14934E+17	also cancer is virtually incurable bc all cancers are different :)	1	1.0	0.0	0.0
200	5.21768E+17	Is Ebola a health care system mishap?	1	1.0	0.0	0.0
214	5.34563E+17	Perfect teeth are a turn on	1	1.0	0.0	0.0
239	5.59051E+17	.@Oprah Nuclear weapons are a real, deadly problem that entire popul. of world must deal with http://t.co/6SEM76ud2c #SaveFukuChildren	1	1.0	0.0	0.0
242	5.60029E+17	The macroeconomic impact of micro-interventions is an important reason why poverty has persisted, despite ... http://t.co/GWfKI78PcY	1	1.0	0.0	0.0
254	5.72172E+17	Check out B HEALING STONE & MAGNET PILLOW (THERPIC)HELPS STOP PAIN IN THE BODY http://t.co/3V9oG2aeHV via @eBay	1	1.0	0.0	0.0
269	5.86476E+17	Companies report 48% increase in attempted cyber security breaches http://t.co/wUdCJb7y8v #DGInsights #cybersecurity http://t.co/a38n3hZg70	1	1.0	0.0	0.0
274	5.89534E+17	coumadin decreased sex drive men http://t.co/zfRNn4MMc6	1	1.0	0.0	0.0
281	5.97534E+17	More Sex Doesnâ€™t Lead To More Happiness, Reveals New Study. Surprised? â€“ Tech Times http://t.co/jtKodFKWmV	1	1.0	0.0	0.0
289	6.02179E+17	#PhysicalActivity is imp at every age, esp bc it can help strengthen bones & muscles & prevent falls. #ActiveAgeing http://t.co/B7gXec7gCG	1	1.0	0.0	0.0
296	6.10995E+17	Beauty Tips : Blood Sugar Support Cardiovascular Health Dietary Supplement (6 Bottles) http://t.co/bp6W50L2yX #892	1	1.0	0.0	0.0
306	6.17299E+17	Pain changes people	1	1.0	0.0	0.0
310	6.21383E+17	The carbon footprint of a glass of milk has shrunk by 2/3 in the last 50 years due to improved health, nutrition, and genetics #JAM2015	1	1.0	0.0	0.0
322	6.26276E+17	#Deals : New Improved Unique Color Therapy Lamps Light Promotes Wellness Health http://t.co/NJTKhFgizu #Beauty â€¦ http://t.co/u65daPcbA6	1	1.0	0.0	0.0
330	6.31829E+17	Farting helps reduce high blood pressure and is good for your health. Isnâ€™t it funny and healthy? ïŠ http://t.co/aiAnQvFfiW #physio #herts	1	1.0	0.0	0.0
344	6.50847E+17	The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more.	1	1.0	0.0	0.0
347	6.53391E+17	High school does, in fact ,change people.	1	1.0	0.0	0.0
374	6.73023E+17	The low sun angle and the reflective surface of the fresh snow slowing the melting process of the snowpack #ndwx https://t.co/tIG2TYSw91	1	1.0	0.0	0.0
387	6.83182E+17	PROOF That Gun Bans Increase Murder Rates https://t.co/ogYX8lB3xN... https://t.co/Fcq5UNTRhH|mM	1	1.0	0.0	0.0
393	6.85152E+17	Hard work NEVER fails, start working, stop complaining. If you work for it, you'll appreciate it! ðŸ’¯	1	1.0	0.0	0.0
396	6.86166E+17	#Severe fibromyalgia symptoms linked to obesity, weight gain - https://t.co/NZG7iqYpas https://t.co/rnTKnmhL2V	1	1.0	0.0	0.0
402	6.89938E+17	Did you know that #HighBloodPressure causes #ErectileDysfunction? #menshealth https://t.co/uCUE9RKgUO https://t.co/nkrP6hsLMl	1	1.0	0.0	0.0
414	6.99397E+17	A good pass often leads to a good shot. The extra pass often leads to a great shot. #Selfless #Assist	1	1.0	0.0	0.0
419	7.04636E+17	Proper preparation prevents poor performance	1	1.0	0.0	0.0
443	7.18529E+17	How Employment Can Change the Life of Someone with a Disability https://t.co/VxAtaX7qi5	1	1.0	0.0	0.0
445	7.24306E+17	Benefits of music: - Stress relief - Boost immunity - Reduce heart disease - Enhances emotional strength - Boost self esteem	1	1.0	0.0	0.0
448	7.24947E+17	Volume Caps Pills Male Sex Enhancement Increase Semen Massive Load More Libido - Bid Now! â€¦ https://t.co/hV5lrIMrSc https://t.co/bUwQvoOKV4	1	1.0	0.0	0.0
493	7.55348E+17	Q: Is there a connection between shellfish allergies and iodine? - Wilderness Medical Associates International https://t.co/4TM0FP7GQb	1	1.0	0.0	0.0
498	7.59597E+17	Adverse #Effects #Of #Marijuana #Cannabis #Seeds #Sale #How #To #Grow #Cannabis #Indoors https://t.co/F2rvT9UTS0	1	1.0	0.0	0.0
502	7.64987E+17	Reading facebook comments for 20 minutes is scientifically proven to drop your IQ by more than 52%.	1	1.0	0.0	0.0
503	7.69466E+17	Change is essential for growth, but if weâ€™re not under leadership of Holy Spirit, what will we become? https://t.co/9YvxyLUKXV	1	1.0	0.0	0.0
506	7.71041E+17	This technology will stop snoring forever! https://t.co/5UMpF8n4bH	1	1.0	0.0	0.0
527	7.83685E+17	Cooling Therapy Might Not Help All Cardiac Arrest Patients https://t.co/4oNE2klZne	1	1.0	0.0	0.0
542	7.89745E+17	Matt Ridley: Climate policy is doing more harm than good https://t.co/L1MNlzi56d	1	1.0	0.0	0.0
547	7.95078E+17	The number of lies told by men would decrease significantly if women stopped asking questions	1	1.0	0.0	0.0
558	8.04269E+17	Indian real estate to see an increase of 4.2 mn units across 8 cities in the next 5 years Â» https://t.co/wFX4fWcUyk	1	1.0	0.0	0.0
559	8.04696E+17	Five ways subscription box services can increase customer retention https://t.co/dkcJywo5yL	1	1.0	0.0	0.0
560	8.05589E+17	So what was Israels reason for attacks, murder and destruction of the Palestinian people before 1982? SIMPLY HATE AND ETHNIC CLEANSING https://t.co/hLlBuxWvcU	1	1.0	0.0	0.0
568	8.14339E+17	RT HealingMB: Stressed? Stretching reduces stress, increasing circulation, reducing pain etc #Healing #Yoga... https://t.co/XTyqkcaSBt	1	1.0	0.0	0.0
571	8.18219E+17	Pain changes people.	1	1.0	0.0	0.0
575	8.20156E+17	The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more.	1	1.0	0.0	0.0
578	8.23658E+17	Do conservatives know that legally taking away abortion isn't going to actually stop people from getting abortions?	1	1.0	0.0	0.0
600	8.3914E+17	#10: RapidKetosis Premium Exogenous Ketone Supplement - Weight Loss Was Never Easierâ€¦ https://t.co/OoRJlk58BA #Prepared #Foods	1	1.0	0.0	0.0
602	8.39281E+17	(3) Fear of illness because of poverty is a national disgrace. It also causes huge numbers to live in a perpetual state of stress.	1	1.0	0.0	0.0
615	8.54729E+17	Myth: Warm Up can Increase Vertical Jump! True or False? #nba See at : https://t.co/ZjGHyzRNGd https://t.co/jHDDRcxYnb	1	1.0	0.0	0.0
617	8.55333E+17	Seeking perfection in trading leads to massive losses https://t.co/VacaxTq2zE	1	1.0	0.0	0.0
618	8.57657E+17	student athletes are a different species https://t.co/vDa7gpwZgk	1	1.0	0.0	0.0
626	8.62031E+17	Lack of free will and unwillingness to exercise it are functionally equivalent.	1	1.0	0.0	0.0
642	8.73937E+17	@ColinKahl There has been a sharp increase in reported abuse of travellers - particularly non-whites - by CBP & ICE personnel. https://t.co/sVIYIvMNTk	1	1.0	0.0	0.0
646	8.78022E+17	European markets are a better investment than US markets, analyst says https://t.co/APHnvJROtc #Stock #Market https://t.co/ykYySyP5vH	1	1.0	0.0	0.0
683	8.99489E+17	gratitude is a killer antidepressant	1	1.0	0.0	0.0
710	9.1934E+17	82% of Americans support a pathway to citizenship! We have to remove the fear & #ProtectDREAMErs now. #AxeFiles	1	1.0	0.0	0.0
715	9.21979E+17	Will export control of exploits by Waassenaar signatories prevent catastrophic cyberwar? #ruxpanel	1	1.0	0.0	0.0
725	9.27672E+17	how u treat others will reflect on how u feel	1	1.0	0.0	0.0
738	9.34473E+17	Is @ONgov going to pay for the increased #ONhealth care required to care for a 4-fold rise expected in teenage marijuana-intoxication after pot-legalization comes into effect? Coloradoâ€™s experience raises alarms that #ONpoli canâ€™t afford to ignore. https://t.co/msm2ODcdG5	1	1.0	0.0	0.0
745	9.38564E+17	suicide is now the third leading cause of death among African Americans between the ages of 15 to 24	1	1.0	0.0	0.0
782	9.74022E+17	Using a â€œCookieâ€ Mentality to Increase Patient Satisfaction and Collect More Payments #techblogs #startups https://t.co/MKoYE4Rlum	1	1.0	0.0	0.0
810	9.97522E+17	"""Talking about #suicide increases the chances someone will go for help. Reaching out for help is the main message,"" said our @drthomasungar, while discussing mainstream media portrayals of #mentalhealth issues. WATCH THE VIDEO Â» https://t.co/zMhJyJ4a35 https://t.co/P0GPxQ6daQ"	1	1.0	0.0	0.0
812	9.98036E+17	#Shame is a powerful emotion and may be experienced when recovering from an #eatingdisorder. When shame seems to be winning, counter with #selfcompassion. https://t.co/fzBo6RuF3j https://t.co/iy12blHfD4	1	1.0	0.0	0.0
833	1.01819E+18	Good advice for the too many White people who canâ€™t seem to understand that calling the police on Black people can cause death. https://t.co/Dyqy19wN5t	1	1.0	0.0	0.0
839	1.02271E+18	Donating blood not only helps others, but reduces the rate of cancer and heart disease in the donor. And can help you lose weight.	1	1.0	0.0	0.0
850	1.03111E+18	Babies cannot speak so parents never know the severity of their illnesses. When a baby shows minor signs of struggling to breathe, it should be treated as an emergency. https://t.co/9leiAbvi34	1	1.0	0.0	0.0
867	1.04585E+18	States herself trauma causes norepinephrine to imprint memories on the hippocampus. Yet, can't remember anything. #ConfirmKavanaughNow https://t.co/pm2XhJOOeb	1	1.0	0.0	0.0
879	1.05045E+18	(The Huffington Post) #Dramatic #Increase In Women Of Color As 2018 Candidates: Report : There was a 75 percent increase in women of color among nominees for Congress since 2012, a study shows. .. https://t.co/gvHI9Elazr https://t.co/31U7W3RO7s	1	1.0	0.0	0.0
880	1.05054E+18	Coffee Drinking Associated With Lower Risk of Stroke âž¡ https://t.co/UziyhDa6WE https://t.co/8qHVzTjAHV	1	1.0	0.0	0.0
903	1.07402E+18	Nobody wants you till they think youâ€™re in a relationship. Ainâ€™t that some reverse psychology shit for you ðŸ˜‚	1	1.0	0.0	0.0
911	1.0841E+18	Evolution doesn't apply to individuals, but to species. There's a benefit to having a certain percentage of the population remain outside of the breeding pool to devote their energies to supporting the clan by other means, such as myself, a well-to-do but dotty aunt. #atheism https://t.co/gxI0VYB5s9	1	1.0	0.0	0.0
940	1.10344E+18	Please Watch & share this powerful TEDx talk by Apollo Sevant that talks about how social & emotional learning & anti bullying workshops can lead to a reduction in school bullying & violence Video Here: https://t.co/6ckcpJGaUM	1	1.0	0.0	0.0
941	1.10514E+18	RTs are a helluva drug	1	1.0	0.0	0.0
954	1.11348E+18	@DrOlufunmilayo Smoking cannabis helps with controlling the nausea that comes with chemotherapy drugs.	1	1.0	0.0	0.0
981	1.13916E+18	â€œStronger relationships lead to stronger communities. Stronger communities are what makes America, America.â€ Read the full story SuccessBeyond the Front Lines from @southmagazine: https://t.co/wZvIVZzyTg | #GORUCK https://t.co/1ZZHIXCeU4	1	1.0	0.0	0.0
982	1.1402E+18	@berniewestacott Play in early years is so important. The almost complete disappearance of unregulated, unmonitored, unsupervised free play in childhood is one of the key drivers of the increase in mental health issues. Schools can help: more unsupervised play, longer breaks, longer lunch, etc	1	1.0	0.0	0.0
986	1.14148E+18	Kefir Health Benefits: Kefir Milk Grains last indefinitely. Kefir evidence suggests probiotics can alleviate many digestive problems, incl. irritable bowel syndrome & ulcers from H. pylori infection BUY HERE https://t.co/UXq872e3Oq https://t.co/Omddg6LmLE	1	1.0	0.0	0.0
990	1.14501E+18	UN and EU propaganda by socialist media compares 2019 data of built surfaces with 2003 data of tampered temperature database. Fact: France has a record 50Â°C heat wave in 1930 and similar and higher temperature in Spain etc. https://t.co/jtGv6gqhq3	1	1.0	0.0	0.0
993	1.14625E+18	When it comes to immigration, this is often left out of the conversation: The United Statesâ€™s weak gun laws not only put American lives at risk but drive illegal gun trafficking and violence in Latin America. https://t.co/TIZrZLvWlu	1	1.0	0.0	0.0
1042	1.18265E+18	My very first statnews byline Men with breast #cancer have a 19 higher mortality rate than women with the condition. Advocacy groups push for awareness and education to help combat it. httpsbuff.ly2B5PvE8Ã‚: My very first statnews byline Men with breastâ€¦ https://t.co/uJRXR1dQog	1	1.0	0.0	0.0
1046	1.18763E+18	This impressive new surf lake near Bristol can generate up to 1,000 waves an hour and is 100% powered by renewables.. https://t.co/GA0FQrlDsT	1	1.0	0.0	0.0
1047	1.18866E+18	Repeat after me: - Maps & No-Maps DO NOT belong in the LGBT+ - That is only comfirming established bias from anti-lgbt+ groups thus hurting our growth - Pedophilia is a form of mental disorder and IS TREATABLE. - Pedos are not oppressed. - We have the right to protect ourselves	1	1.0	0.0	0.0
1076	1.20792E+18	How New Orleans Reduced Its Homeless Population By 90 Percent https://t.co/N1IGCaCdbw	1	1.0	0.0	0.0
1095	1.22388E+18	On #WorldWetlandsDay we remind nations considering their Nationally Determined Contributions -NDCs- to fulfil their #ClimateAction plans & achieve targets under #ParisAgreement. that Wetlands are important carbon stores that function best when intact #WetlandBiodiversityMatters https://t.co/OfzahVQ81E	1	1.0	0.0	0.0
1096	1.22931E+18	Weather damage affects rail traffic in several federal states https://t.co/fcn3t02zXe	1	1.0	0.0	0.0
1102	1.23569E+18	@ComfortablySmug @EricTrump While Trump didn't explicitly say that sick Americans should go to work, he did state that those with mild coronavirus cases can still recover while going about their daily lives â€” an assertion that contradicts public health officials' recommendations on how to manage the illness	1	1.0	0.0	0.0
1105	1.23639E+18	@GreatTammie @RudeRicky @latimes Got houseless? Want to have #PublicHealth for the survival of the human species? HOUSING and HEALTHCARE! #CORONAVIRUS â€œOregonâ€™s homeless at risk for coronavirus. The crowded conditions in which the homeless live make them more susceptible to the virus.â€ https://t.co/KwchIaTGck	1	1.0	0.0	0.0
1111	1.24024E+18	"""Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence."" - Helen Keller #AsiManshiDebut"	1	1.0	0.0	0.0
1117	1.24072E+18	We know that #coronavirus is a cause for concern and stress for many. Whether you're #WorkingFromHome, #SocialDistancing or #SelfIsolating, it's important to look after our wellbeing. Find out how you can support your mental health: https://t.co/f0D8tTQvpx https://t.co/JgfT7Lcs9T	1	1.0	0.0	0.0
1126	1.24552E+18	Music has the ability to repair brain damage as well as return lost memories. #haitian #music	1	1.0	0.0	0.0
1130	1.24974E+18	Turkey reports lower number of coronavirus cases for a second day in row. 4,093 cases were reported Monday, down by 696 when compared to the previous day, 4,789. 61,049 sickened since March 10 and 1,296 have died since March 17, per @drfahrettinkoca About 4K recoveries so far	1	1.0	0.0	0.0
1131	1.25062E+18	Did you know eye exercises & vision therapy can help with digital eye strain & certain eye conditions? Eye exercises will strengthen weak eye muscles, improve blood circulation & muscle tone. Try these eye exercise for a better & stronger vision ðŸ‘ðŸ‘ðŸ’™âœ¨ #CentralAmericanTwitter https://t.co/KKrwUFJRvG	1	1.0	0.0	0.0
1141	1.25591E+18	@rantingelisa @KatyMontgomerie @JackieDP @NewgentTGA This part, science illiterate one: â€˜The overall mortality for sex-reassigned persons was higher during follow-up (aHR 2.8; 95% CI 1.8â€“4.3) than for controls of the same birth sex, particularly death from suicide	1	1.0	0.0	0.0
1147	1.26331E+18	@chuckwoolery Yes me, too. Ventilation can be very dangerous, any Pulmonary Dr. will support that. When my husband had cardiac arrest he was on for 6 days, the Pulmonary Physician worked to get him off it ASAP, otherwise body becomes dependent & they may never be able to breath on their own	1	1.0	0.0	0.0
1159	1.27331E+18	The suicide rate is higher because of lack of opportunities, unemployment a faulty healthcare system, men feeling expendable and lack of fathers. How is this going to address any of that? America is low on the happiness index. https://t.co/RdybLtFb1Q	1	1.0	0.0	0.0
1183	1.28675E+18	@EmericanJohnson OK I will try to cancel. Here is a hot take that might cause some vocal disagreement with some vietnamese: Le Duan was not strategically competent and ran the war badly. Giap was better but still not exactly a military genius. Loads of errors cost many lives. They still won tho	1	1.0	0.0	0.0
1186	1.29377E+18	"HCQ saves lives! ""Why would the non-doctors, Google, Twitter, Facebook, try to stop people from getting something that really does help people? It certainly helped me."" Rep. Louie Gohmert to Newsmax TV: They Wanted Me to 'Just Die'; HCQ Saved Me https://t.co/39mGOvQyDy"	1	1.0	0.0	0.0
1187	1.29391E+18	Today the El Paso Department of Health reports 20 COVID-19 deaths. While this is the highest single-day increase, the deaths did not occur on the same day. https://t.co/p6NmrYpR0U	1	1.0	0.0	0.0
1200	1.30192E+18	The difference between how smoking and obesity are treated, despite producing roughly similar results for public health (tho obesity might be worse now) is fascinating	1	1.0	0.0	0.0
1219	1.31361E+18	@Ali_at_home @Juneo_x @magoniareview @JuliaHB1 @WomensPrize Trans people support only trans people. Ask Lesbians whose dating sites are infested with men. I don't buy your thinking, you won't persuade me so goodnight.	1	1.0	0.0	0.0
1226	1.31857E+18	@Jubair22 My question is how many of these deaths are really COVID? Like I said earlier, Flu cases have dropped 90% this year. I seriously doubt that the Flu virus just disappeared. I have a feeling that some, not all, of these COVID deaths could be Flu related.	1	1.0	0.0	0.0
1229	1.32006E+18	The COVID-19 pandemic is not over. Incorrect information can cost lives â€” it undermines our efforts to control the virus and protect those most at risk. Today I make a #PledgetoPause before I share information online â€” will you join me? https://t.co/PB5mefqdnd	1	1.0	0.0	0.0
1255	1.34046E+18	@LaylaFanucci @realDonaldTrump I'm sorry but we DO NOT have 1/4 of million dead from covid. Total deaths in the U.S.. are actually lower this yr than yrs before. Do some research on your own and quit believing everything you hear on the news.	1	1.0	0.0	0.0
16	3.44257E+17	@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad	1	0.0	0.0	1.0
145	4.83587E+17	The who, what, when, where, and why of the @BloombergCities & @nesta_uk #Iteams research http://t.co/1tCfbw4QPI #innovation #publicsector	1	0.0	0.0	1.0
208	5.27824E+17	Lupus Research Institute Awards $1-Million Grants to Discover What Causes Lupus http://t.co/aXopNmLyI7	1	0.0	0.0	1.0
252	5.688E+17	The House science committee anti-NSF witch hunt is now demanding information on grants in the physical sciences. http://t.co/2tfH4XUeLk	1	0.0	0.0	1.0
286	6.01025E+17	#MSGDonated4Million to support the research of Thalassemia & AIDS cure	1	0.0	0.0	1.0
357	6.61311E+17	George #Boole Boolean logic inventor b OTD 1815: his Cork plaque https://t.co/y20LI0xGyQ #Boole200 @georgeboole200 https://t.co/3Ufu08KrrW	1	0.0	0.0	1.0
379	6.76126E+17	VIDEO: Dr. Keith Flaherty talks about the genetics of cancer, #targetedtherapy, #clinicaltrials, precision medicine https://t.co/oFjd4YEEZe	1	0.0	0.0	1.0
425	7.07972E+17	Brexit: the implications for life sciences https://t.co/9U7iNYwouw	1	0.0	0.0	1.0
431	7.10963E+17	How is @UChicagoIME shaping the future of science? Find out on April 6: https://t.co/bUwFwv58SO https://t.co/tLCunXaU4n	1	0.0	0.0	1.0
476	7.42368E+17	The War On Science: What It Is And How To Win It [Greg Laden's Blog]: Thinker, writer, and ind... https://t.co/n0R0dmssXQ #Science #nTLD	1	0.0	0.0	1.0
